KEGG,smiles,n_electrons,n_carbons,exp_rxn_data,smiles_ph0,charge_ph0,smiles_ion,charge_ion,energy_Ha,energy_solv_Ha,compute_time
C00257,O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,78,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,0,OC[C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O,0.0,-761.5369175451019,-760.21378434,1568.116
C00312,OCC1(O)OC[C@H](O)[C@H]1O,60,5,True,OCC1(O)OC[C@H](O)[C@H]1O,0,OCC1(O)OC[C@@H]([C@H]1O)O,0.0,-571.9643260544909,-570.95884792,1056.652
C00951,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,108,18,True,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,0,Oc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2O)C,0.0,-849.576902378407,-847.83325619,6707.92
C03064,O=C(O)[C@H](O)C(=O)CO,52,4,True,OCC(=O)[C@@H](O)C(O)=O,0,OCC(=O)[C@H](C(=O)O)O,0.0,-531.534863897626,-530.63499964,576.492
C02652,O=C(O)C1=C[C@@H](O)[C@@H](O)C(=O)C1,66,7,True,O[C@@H]1C=C(CC(=O)[C@@H]1O)C(O)=O,0,O=C1CC(=C[C@H]([C@H]1O)O)C(=O)O,0.0,-646.8772143496341,-645.73923637,1051.164
C00233,CC(C)CC(=O)C(=O)O,52,6,True,CC(C)CC(=O)C(O)=O,0,CC(CC(=O)C(=O)O)C,0.0,-459.734160670268,-458.88308462,632.308
C00164,CC(=O)CC(=O)O,40,4,True,CC(=O)CC(O)=O,0,CC(=O)CC(=O)O,0.0,-381.2538862371511,-380.58271599,389.632
C01089,C[C@@H](O)CC(=O)O,42,4,True,C[C@@H](O)CC(O)=O,0,C[C@H](CC(=O)O)O,0.0,-382.452071861256,-381.7641643,377.044
C00133,C[C@@H](N)C(=O)O,36,3,True,C[C@@H]([NH3+])C(O)=O,1,C[C@@H]([NH3+])C(=O)O,1.0,-323.798390382169,-323.20953185,344.124
C01438,C,8,1,True,C,0,C,0.0,-40.43857102909001,-40.33772335,105.58
C01570,CC(C)C[C@@H](N)C(=O)O,54,6,True,CC(C)C[C@@H]([NH3+])C(O)=O,1,[NH3+][C@@H](C(=O)O)CC(C)C,1.0,-441.537423297879,-440.68060912,790.888
C00031,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,72,6,True,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,0,OC[C@H]1OC(O)[C@@H]([C@H]([C@@H]1O)O)O,0.0,-686.347526778118,-685.13905858,1133.436
C00966,CC(C)(CO)C(=O)C(=O)O,58,6,True,CC(C)(CO)C(=O)C(O)=O,0,OCC(C(=O)C(=O)O)(C)C,0.0,-534.882421688716,-533.91342063,832.2719999999998
C00207,CC(C)=O,24,3,True,CC(C)=O,0,CC(=O)C,0.0,-192.88401012034402,-192.51335498,194.564
C00794,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,74,6,True,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,0,OC[C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O,0.0,-687.551140292372,-686.32877073,1248.94
C00835,C[C@H](O)C(=O)C1=Nc2c(nc(N)[nH]c2=O)NC1,90,9,True,C[C@H](O)C(=O)C1=NC2=C(NC1)N=C(N)NC2=O,0,C[C@@H](C(=O)C1=Nc2c(NC1)nc([nH]c2=O)N)O,0.0,-847.939674211998,-846.38085616,3176.4120000000007
C00109,CCC(=O)C(=O)O,40,4,True,CCC(=O)C(O)=O,0,CCC(=O)C(=O)O,0.0,-381.23861834377,-380.56496157,407.584
C00424,C[C@H](O)C=O,30,3,True,C[C@H](O)C=O,0,C[C@@H](C=O)O,0.0,-268.017592784831,-267.53259896,241.0
C01013,O=C(O)CCO,36,3,True,OCCC(O)=O,0,OCCC(=O)O,0.0,-343.201496356143,-342.60294945,281.376
C00014,N,8,0,True,[NH4+],1,[NH4+],1.0,-56.947634460763,-56.83278743,104.364
C00022,CC(=O)C(=O)O,34,3,True,CC(=O)C(O)=O,0,OC(=O)C(=O)C,0.0,-341.990948014659,-341.40489448,290.8640000000001
C15673,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@@H](O)CO,76,6,True,OC[C@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-760.3153269473552,-759.00658672,2499.24
C00067,C=O,12,1,True,C=O,0,C=O,0.0,-114.364299105695,-114.16628471,91.056
C06473,O=C(O)C(=O)[C@@H](O)[C@H](O)[C@H](O)CO,76,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)C(=O)C(O)=O,0,OC[C@H]([C@H]([C@@H](C(=O)C(=O)O)O)O)O,0.0,-760.3216708416188,-759.01289281,1331.184
C00084,CC=O,18,2,True,CC=O,0,CC=O,0.0,-153.626090258217,-153.34232543,376.072
C01188,CC(CO)C(=O)O,42,4,True,CC(CO)C(O)=O,0,OCC(C(=O)O)C,0.0,-382.450251904412,-381.76189278,332.54
C06019,O=C([C@H](O)CO)[C@H](O)[C@H](O)COP(=O)(O)O,96,6,True,OC[C@@H](O)C(=O)[C@H](O)[C@H](O)COP(O)(O)=O,0,OC[C@H](C(=O)[C@@H]([C@@H](COP(=O)(O)O)O)O)O,0.0,-1253.6352874097079,-1252.00708643,3497.824
C00854,OC1CCCCC1,42,6,True,OC1CCCCC1,0,OC1CCCCC1,0.0,-310.628413321208,-309.98853575,1597.388
C02666,COc1cc(/C=C/C=O)ccc1O,68,10,True,COc1cc(\\C=C\\C=O)ccc1O,0,O=C/C=C/c1ccc(c(c1)OC)O,0.0,-611.885558065634,-610.74159973,1330.84
C00085,O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O,96,6,True,OCC1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,0,OCC1(O)O[C@@H]([C@H]([C@@H]1O)O)COP(=O)(O)O,0.0,-1253.6377816082359,-1252.00904553,3451.848
C03232,O=C(O)C(=O)COP(=O)(O)O,64,3,True,OC(=O)C(=O)COP(O)(O)=O,0,OC(=O)C(=O)COP(=O)(O)O,0.0,-984.376757923512,-983.25401781,932.148
C00222,O=CCC(=O)O,34,3,True,OC(=O)CC=O,0,O=CCC(=O)O,0.0,-341.995273251388,-341.4118536000001,277.508
C02782,O=C(O)C[C@@H](O)[C@H](O)[C@H](O)CO,72,6,True,OC[C@@H](O)[C@@H](O)[C@H](O)CC(O)=O,0,OC[C@H]([C@H]([C@@H](CC(=O)O)O)O)O,0.0,-686.394441974918,-685.18471883,1331.66
C00197,O=C(O)[C@H](O)COP(=O)(O)O,66,3,True,O[C@H](COP(O)(O)=O)C(O)=O,0,OC(=O)[C@@H](COP(=O)(O)O)O,0.0,-985.6293984481661,-984.49405516,918.476
C01179,O=C(O)C(=O)Cc1ccc(O)cc1,68,9,True,OC(=O)C(=O)Cc1ccc(O)cc1,0,Oc1ccc(cc1)CC(=O)C(=O)O,0.0,-647.841243649852,-646.67056592,1308.0839999999996
